"","X.6","X.5","X.4","X.3","X.2","X.1","X","ProductTitle","Price","Category","Ratings","Reviews","Description"
"1",1,1,1,1,1,1,1,"1. Check each product page for other buying options. Price and other details may vary based on product size and color.","$1,295.00","Bicycle",4,"124","Check each product page for other buying options. Price and other details may vary based on product size and color."
"2",2,2,2,2,2,2,2,"2. WEIZE Mountain Bike, 24/26/27.5 inch Outdoor Cycling Bike,18-Speed/High-Carbon Steel/Dual Full Suspension, Adjustable Ergonomic Seat for Men Women Adult, MTB Bicycle with Suspension Fork,Sleek Colors","$1,445.00","Bicycle",4.3,"5","WEIZE Mountain Bike, 24/26/27.5 inch Outdoor Cycling Bike,18-Speed/High-Carbon Steel/Dual Full Suspension, Adjustable Ergonomic Seat for Men Women Adult, MTB Bicycle with Suspension Fork,Sleek Colors"
"3",3,3,3,3,3,3,3,"3. WEIZE Beach Cruiser Bike, 26 inch Commuter Bicycle for Adult Men and Women, 7-Speed/High-Carbon Steel/Front & Rear Fenders, Comfortable City Bikes with Rear Rack or Basket, Ergonomic Upright Design","$2,695.00","Bicycle",4,"4,567","WEIZE Beach Cruiser Bike, 26 inch Commuter Bicycle for Adult Men and Women, 7-Speed/High-Carbon Steel/Front & Rear Fenders, Comfortable City Bikes with Rear Rack or Basket, Ergonomic Upright Design"
"4",4,4,4,4,4,4,4,"4. Huffy Stone Mountain Hardtail Mountain Bike for Boys/Girls/Men/Women, 20""/24""/26"" Sizes, 6 or 21 Speed Shimano Twist Shifting, Front or Dual Suspension, Comfort Saddle, Sleek Colors","$2,995.00","Bicycle",4.1,"1,399","Huffy Stone Mountain Hardtail Mountain Bike for Boys/Girls/Men/Women, 20""/24""/26"" Sizes, 6 or 21 Speed Shimano Twist Shifting, Front or Dual Suspension, Comfort Saddle, Sleek Colors"
"5",5,5,5,5,5,5,5,"5. Huffy Cruiser Bike, Fairmont or Woodhaven Model, 20/24/26 Inch Sizes, Perfect for Casual Rides, Ergonomic Upright Design, Fenders Prevent Spray, Rear Rack and Basket Available, Simple Coaster Brakes","$3,295.00","Bicycle",4.4,"99","Huffy Cruiser Bike, Fairmont or Woodhaven Model, 20/24/26 Inch Sizes, Perfect for Casual Rides, Ergonomic Upright Design, Fenders Prevent Spray, Rear Rack and Basket Available, Simple Coaster Brakes"
"6",6,6,6,6,6,6,6,"6. WEIZE Kids Bike, 14 18 20 Inch Children Bicycle for Boys Girls Ages 3-12 Years Old, Rider Height 35-60 Inch, Coaster Brake, Multiple Color Options","$179.99","Bicycle",4.6,"6","WEIZE Kids Bike, 14 18 20 Inch Children Bicycle for Boys Girls Ages 3-12 Years Old, Rider Height 35-60 Inch, Coaster Brake, Multiple Color Options"
"7",7,7,7,7,7,7,7,"7. HILAND 26 27.5 Inch Mountain Bike, Mens and Womens MTB with 21 Speeds, High-Tensile Steel Frame, V Brake, Hardtail Bicycle for Adults","$199.99","Bicycle",4.4,"17","HILAND 26 27.5 Inch Mountain Bike, Mens and Womens MTB with 21 Speeds, High-Tensile Steel Frame, V Brake, Hardtail Bicycle for Adults"
"8",8,8,8,8,8,8,8,"8. HILAND 24 26 Inch Adult Hybrid Bike, 21 Speed Commuter Bicycle, Bicycle for Women and Men with High-Carbon Steel Lightweight Frame Urban Bike","$199.99","Bicycle",4.4,"310","HILAND 24 26 Inch Adult Hybrid Bike, 21 Speed Commuter Bicycle, Bicycle for Women and Men with High-Carbon Steel Lightweight Frame Urban Bike"
"9",9,9,9,9,9,9,9,"9. WEIZE Kids Bike,16 20 Inch Children Bicycle for Boys Girls Ages 4-12 Years Old, Rider Height 38-60 Inch, Coaster Brake, Multiple Color Options","$229.99","Bicycle",4.2,"486","WEIZE Kids Bike,16 20 Inch Children Bicycle for Boys Girls Ages 4-12 Years Old, Rider Height 38-60 Inch, Coaster Brake, Multiple Color Options"
"10",10,10,10,10,10,10,10,"10. Hiland 20 inch Freestyle Kids BMX Bike,Beginner-Level to Advanced Riders with 360 Degree Gyro & 4 Pegs, Kids' Bicycles for Boys,Girls,Youth Multiple Colors","$161.54","Bicycle",5,"1","Hiland 20 inch Freestyle Kids BMX Bike,Beginner-Level to Advanced Riders with 360 Degree Gyro & 4 Pegs, Kids' Bicycles for Boys,Girls,Youth Multiple Colors"
