"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Alex Desmarais","Reviewed in the United States on July 18, 2019","","I was using the crappiest chair so this was a major upgrade. I have already taken one nap in it and slept well (the foot rest is amazing). I wish the bottom cushion was a bit more comfortable but I am being incredibly nitpicky. The chair also seems to be of solid construction so far. The only thing I think is a potential con is if you are not confident in building things because the chair came quite dis-assembled and took some time to put together (about an hour or so). If you are not comfortable with building things either go a different direction or be prepared to get some help. Otherwise I think great for the cost. I imagine other gaming chairs with the same quality and features are more around the $200 mark so this is great for someone who does not want to spend $400 on a chair but still wants features, comfort, and quality.",5,NA
"2","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Dave","Reviewed in the United States on December 7, 2021","","It came quickly in the mail within four days. it only took us  30 minutes to assemble it and I didn’t even need the instructions - come on it’s a chair with only a few pieces to assemble lol and it was very easy to follow the directions if you needed to refer back. Of course I am kind of a handy guy with tools, but even if you have a little bit of experience you shouldn’t have a problem putting this chair together there’s really not that many pieces to assemble. I’ve seen people write some reviews saying that they took two hours to figure it out and that’s just ridiculous. It’s really comfortable and fun to use. It has a lot of options like recline, extra padding for lumbar support and neck support and it’s, fully adjustable, and very well-made, and most importantly priced fairly. I’ve seen chairs go for way more and this one is just as good.Im going to get another for office at my garage. It’s so sporty looking! I keep seeing people say this thing breaks? Well, I’m 220lbs and five feet eleven and I didn’t break the foot rest like these other people who must be slam dancing in the chair all night lol come on guys this is a 200 dollar middle of the road chair that’s giving you a lot of nice options and features, AND for a fair price! This isn’t a premium office chair you’ll find in a law firm, bank, or executives conference room, those chairs are usually 1000 dollars folks. I’m also buying the matching desk they make too right after I’m done posting this review. Because I’ve bought many office chairs over the years and I’m having the most fun with this one. And yes, this chair is best fitted for certain “frame types” let’s say, but I’m no small guy and I take care of my stuff that I buy and I’m not rough with it. It’s great for gaming for a few hours and  he’ll yeah as well as kicking back the recline feature and talking on the phone lol I’m so buying another chair for my office at the garage and a desk too! I wanna look cool over there and this chair screams racing!  I don’t care if it lasts only a few years, or maybe it will be last more since I take good care of things,  I’m not using it to go on a ship into outer space with the dam thing! I don’t need a five hundred dollar elite brand chair for my every day work. A buddy of mine has the same chair in his garage with a rough edged floor, grease, and chemicals and he’s had his chair a whole year beating on it and it never broke, I don’t know what these people are doing with the chair but they can’t be treating them correctly. So pound for pound and option for option, this was the best deal going. And anyone who says this chair is less then four stars surely doesn’t know what there talking about. I sat on this chair six hours today and the padding and pillows were satisfactory. Of course my leg was a bit sore because heck, nobody should sit for that long on any chair!lol  But for the money, and the design, I think this chair is just fine.",5,NA
"3","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Dave","Reviewed in the United States on April 16, 2022","GREAT CHAIR FOR THE PRICE","This chair is perfect for hours of gaming. It is surprisingly comfortable when reclining. The neck support helps. First time I used it, I didn’t realize I was playing for hours and hours. It is easy to move around. It was a little difficult to assemble-just some parts were bulky and definitely needed two helpers! The foot rest that slides out is ok, it feels a little flimsy to me. Could be sturdier. Overall a great chair for hours of gaming entertainment.",5,NA
"4","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Lindsay Walters","Reviewed in the United States on September 5, 2024","","I bought this chair recently, and I love it! It’s very comfortable, looks great, and feels sturdy. The assembly was easy too. Highly recommend!",4,NA
"5","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Doris","Reviewed in the United States on February 14, 2024","","A disaster of a transaction all around and I strongly urge anyone paying attention not to buy this.The building process is awful, screws don't easily go into holes, instructions aren't clear, etc. It took me 5-6 hours to get it built and this is the 4th chair like this I've had so I like to think I know what I am doing.Once built, the 2 most important parts didn't work. The lever for the back of the chair did nothing, thus the back stood straight up with zero give to lean back. Also, the gas canister under the seat part did not work so there as no ability to raise/lower the seat.I took out a 2-year warranty/protection plan thankfully. HOWEVER, ran into more issues with that. The company claimed they sent it, was scheduled for delivery on Feb. 6 arriving independently from the chair. This got delayed until Feb. 8. Then Feb. 9. Finally on Feb. 13 I checked and the tracking number indicated it might be lost.Amazon contacted the company to open a case and have the respond/get me out a new protection plan/paperwork but instead of discussing and doing this the VERY QUICKLY canceled my 2-year protection plan and issued a refund without even consulting me.So, for a brief while, I had a defective chair that did not work at all and no protection plan to apply for a refund.Thankfully, Amazon took care of it and refunded me everything but urged me to write this.I suspect this company is a scam. The price of the chair is so low for a reason. Cause it's a bad product that doesn't work well. The company knows this, they know most won't take out a warranty for such a cheap item. I did, which had them worried so they quickly canceled/refunded it once they knew I had an issue with the chair and would want to use this warranty for a refund.BUYER BEWARE",5,NA
"6","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","JPL","Reviewed in the United States on May 7, 2022","The most bang for the buck!","I've had it for a couple months now and there's a crack in the left armrest rubber. Overall 5 for design and style, comfort. But dropped 2 star due to this durability issue. Should be a year or so before things start to fall apart. Do not buy if looking for long term satisfaction.",1,NA
"7","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","JAK","Reviewed in the United States on March 16, 2024","","Well engineered and good quality. First delivery packed with an inoperative lift cylinder. Toll-free help number answered promptly with English-speaking person, a rarity these days. They provided a new working cylinder no charge also delivered promptly. Final assembly works as advertised and is in my opinion a good value.",3,NA
"8","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Richard VanTreuren","Reviewed in Mexico on October 17, 2023","","Muy buena calidad y buen servicio",5,NA
"9","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Kennia","Reviewed in the United Kingdom on April 29, 2024","Perfect starter chair for gamers!","",5,NA
"10","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Kennia","Reviewed in the United Kingdom on January 29, 2024","","The quality is super nice it’s comfortable was a little hard to setup but other than that perfect",5,NA
"11","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Kevin  Faunch","Reviewed in the United Kingdom on October 23, 2023","","This gaming chair is just what I needed. Very comfortable and a great design.",5,NA
"12","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Sal","Reviewed in the United Kingdom on September 20, 2023","Great Chair - Comfortable and Easy to Assemble!","Unfortunately the instructions had some errors for example they referred to screw (N) however N was the head rest so had to eliminate where other screws would go to determine which to use.  Also when connecting the arm, the instructions had the screws the wrong way round which resulted in some damage to the arm rest where the screws poked through.  Disappointing as I paid a lot for a chair that is now damaged. Other than the assembly issues, the chair itself is great.  It's very sturdy and I love the footrest and recline functions.",5,NA
"13","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Andypandy",NA,"","In summary, thank god for Amazon customer service as their customer service does not seem to respond.Very hard to assemble and confusing instructions but got over it. The chair, unfortunately, slides down. I don't know if it is underspec'd gas lift or what but it is not great. And comfort wise, it's fine.Stay away from it.",4,NA
"14","GamingChair","AA Products Gaming Chair High Back Ergonomic Computer","Dalen Kambur",NA,"",NA,1,NA
"15","GamingChair","GTRACING Gaming Chair with Footrest, Ergonomic Computer","Amazon Customer","Reviewed in the United States on November 7, 2024","","This was not only an easy chair to put together but it is solid and feels great, love the finish and the colors look great, like I said just a few screws took me less than 10 min to build it, and again feels super solid, very happy with it.",5,NA
"16","GamingChair","GTRACING Gaming Chair with Footrest, Ergonomic Computer","Jasonandkristidavis","Reviewed in the United States on November 2, 2024","","When the chair came it was easy to assemble. Nice large chair but fits great in a small office. Looks high-end very supportive with back and neck pillows. Very comfortable for hours of playing after looking at all the reviews this one was definitely a good choice.",5,NA
"17","GamingChair","GTRACING Gaming Chair with Footrest, Ergonomic Computer","Prewar Mangold","Reviewed in the United States on April 23, 2024","Love it so far","This chair is seriously comfy. The ergonomic design is on point, and the footrest is a game-changer (pun intended). Whether you're gaming or working, you'll appreciate the support it provides.The reclining feature is also a nice touch. Being able to adjust the angle is great for preventing stiffness during long sessions. And the swivel and rocker functions? Super convenient.Now, onto durability. While the chair feels solid overall, there are a few areas that could be improved. Some users have reported issues with the armrests feeling a bit wobbly, and the fabric can be prone to wear and tear over time.And let's talk about that navy blue color. It's stylish, sure, but it might not be to everyone's taste. Personally, I love it, but I can see how some people might prefer something a bit more neutral.Overall, I'd give the GTRACING Footrest, Ergonomic Computer Game Desk, Reclining Gamer Chair a solid 4 out of 5 stars. It's comfy, supportive, and built to last, but it's not without its minor flaws. If you're in the market for a gaming chair, it's definitely worth considering.",4,NA
"18","GamingChair","GTRACING Gaming Chair with Footrest, Ergonomic Computer","DomS","Reviewed in the United States on November 25, 2024","","Best chair I’ve had by far for the price. Decent size. Height was perfect for my desk. Pretty stable for reclining. It does as the ad says.",5,NA
"19","GamingChair","GTRACING Gaming Chair with Footrest, Ergonomic Computer","RICHARD RITCH SR","Reviewed in the United States on November 17, 2024","","I liked everything this chair, and the accessories it's steady at the same time it comfortable in all positions, this is the 2nd time I bought this chair, I bought the first one for my wife,she's in luv w/it.",5,NA
