"","Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"1","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","DoomOfSarnath","Reviewed in the United States on September 17, 2023","","Well, for $190-$230 this tablet might not be the best at one particular thing, but thanks to some common-sense decisions and Amazon's resources and commitment, it's competent enough at everything, all at once.Media consumption, retro games, word processing, digital art, battery life, you name it.For media consumers, it has an obscenely long battery life and a pretty nice screen. Contrast is surprisingly good for an IPS display (the black areas look black), colors are very poppy, and the 5:3 aspect ratio means you're not losing much space on either 16:9 or 4:3 content.For retro games, let's talk about the processor. It has a Mali G57 MC2, 2 Cortex A78 cores, and 6 Cortex A55 cores. Anyone who keeps up with Android hardware will know this is a bizarre setup. The Mali G57 MC2 and Cortex A55s are all modest, cheap, power-sipping technology. While the Cortex A78s are freakishly fast for this price point.But I'm certain Amazon did this on purpose, and it's responsible for the great battery life, which is essential for what is basically a media consumption tablet. The modest GPU and high number of ""little"" cores keep battery drain minimal (this is a 5w chip, in a tablet, where 7-10w chips are the norm) while 2 A78s give it some serious oomph for the right sorts of tasks.This accidentally makes this little tablet a retro gaming powerhouse, as that relies heavily on single-core performance, with the GPU and secondary cores being an afterthought.So, it's a tablet that just excels at anything where you'll be using the screen a lot. Reading, movies, old games, etc. It may struggle with native Android games due to the weaker GPU, but compared to retro games there aren't a lot of worthwhile Android games anyway IMO.The keyboard and stylus are also very well executed.I'm typing this review on the keyboard case, and the keys are a nice size thanks to the TKL form factor, with short travel and a nice tactile, springy feel. The trackpad is small, but accurate and doesn't ""lose"" my finger.The stylus itself uses a user-replaceable AAAA battery. I like this decision, because small Li-po batteries wear out fast, and the AAAA means that the stylus has a super long life without worrying about whether you'll be able to find a replacement in a few years. The stylus is also magnetic and clips to the side of the tablet.The stylus is pretty accurate. I don't notice much parallax or judder. My Galaxy Tab S8 actually had slightly more parallax. However, there is more input lag than you'll get with something like a Galaxy Tab S8 or iPad with Apple Pencil. It's a quite noticeable amount of input lag compared to those two. I will mention, this tablet is about 1/3 the price of those devices and actually has a longer battery life. So it's still better than you expect for the price. But will definitely be more of an ""entry level"" art tablet instead of something outstanding.All in all, I still think you're getting a lot more for your money with this tablet than the others available. Amazon's reach with e-readers, with keyboards, with stylus peripherals, with tablets, and their resources and supply chain (ie, being able to order unusual tablet SoCs) has definitely given the Kindle Fire 11 a wider spread of abilities and better quality than your ordinary budget tablet. I can't really name anything I'd expect to be better for the price.The only real flaw is software; since Google Play is not preloaded and Amazon is not putting a lot of effort into their own App store, be prepared to sideload some apps if you want to use the broader spectrum of abilities this tablet has.",5,NA
"2","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","MS. O","Reviewed in the United States on November 22, 2024","","The Amazon Fire Max 11 is an incredible all-in-one device! The vivid 11” display is stunning—perfect for streaming movies, reading eBooks, or gaming. The colors are vibrant, and the resolution makes everything look crisp and clear.It’s lightweight, easy to handle, and has a long-lasting battery that keeps up with my busy day. Whether I’m binge-watching shows or tackling work tasks, this tablet handles it all effortlessly.The overall performance is smooth, with plenty of storage for apps and media. It’s a fantastic value for the price. Highly recommend this tablet to anyone looking for a reliable, multifunctional device!",5,NA
"3","Laptop","Amazon Fire Max 11 tablet (newest model) vivid 11” display","The Bearded Mystic","Reviewed in the United States on September 5, 2023","It's good enough at everything, for people who want one device to do anything.","This is by far the best Fire Tablet since the HDX series, and my favorite.  To put into context my love of the Fire Tablet, I’ve owned (or bought and returned) the following over the past 11 years:Fire 7 (2012/2014/2020),Fire HDX 7 (2014),Fire HD 8 (2018),Fire HD 8+ (2020/2022),Fire HD 10 (2018, 2019),Fire HD 10+ (2021),Fire Max 11 (2023).Of those, the ones I kept or kept the longest was the Fire HDX 7, the Fire 7 (2014), and the Fire HD 10 (2018).Specs for the Fire Max 11 can be found within the product description.Design and BuildThe Max 11 boasts a sleek and modern design, coupled with a build quality that feels robust and premium. Its lightweight aluminum structure makes it convenient for both work and leisure, allowing easy handling and portability. I like that it went back to a similar size/ratio of the 2018 HD 10.PerformanceEquipped with a more powerful processor than its predecessor, the Max 11 is capable of handling various tasks smoothly. Whether I am browsing the web, watching videos, or using multiple apps simultaneously, the experience is fluid and lag-free, especially compared to my HD 10.While not ‘blazingly fast’, it IS much faster than I expected.  Out of curiousity, I wound up trying it with a bluetooth keyboard/mouse combo, and for the first time-I feel this is a possible viable laptop replacement for light to medium users.  My HD 10 does not make a viable laptop replacement.  Great multitasking ability, can run enough apps at once with little to no lag.The speakers are merely adequate, if not a tad disappointing.  Thought normally I either use ear buds or a bluetooth speaker.  I don't miss having a head phone jack, and love having the quite responsive finger print sensor on the power button.DisplayThis has been probably my biggest surprise.  The display is vibrant and crisp, offering excellent viewing angles. It renders colors accurately, making it a joy to use for both media consumption and reading.  I do wish it was a TAD brighter at times, but the vibrancy of the colors makes up for it most of the time.  I’d wondered how much of a viewing difference going from the 10 to the 11 would be, and it’s shockingly a pretty big difference.  The Max 11 almost feels like a small tv, or laptop screen at times.Battery LifeBattery life has been good.  It’s not the best nor the worst, and should be more than adequate for most users.  Since I have chargers adjacent to most places I use the tablet in my house, I’ve also not needed to run it low.ValueOne of the reasons I’ve had so many Fire tablets (I’ve owned only one other non Fire tablet, a 6th gen iPad mini that I use for my business) is that I love the value proposition and ease of use.  Reviewers like to talk down the Fire software, but I have never minded it.  I am admittedly deep into the Amazon ecosystem with movies, books, music, etc., so the operating system has always made it easy to access and use that stuff.  I have also side loaded the Play store (I did this on my HD 10 also), so I have access to almost the entire Play store of apps on my Max 11.  If one is really ambitious, you can essentially turn it into more an Android operating system.  Personally, I have never like the tablet OS offered from iPad or Android tablets.  When the Fire Max 11 was first announced, I was excited about the specs, but hesitant on the price.  So I waited until Prime Day to buy it, also taking advantage of the trade in offer.  In terms of what I paid ($229-$30 trade in gift card-$46 trade in 25% off-$80 prime day offer=$73.99), of course it’s an awesome value.  At $229…I would suggest either going refurbished if available or just waiting it out for the inevitable discounts (at the time I write this, it’s on sale for $189.99).  But I still think it’s a great tablet at $229, and wouldn’t fault anyone that pays that.OverallIn conclusion, the Fire Max 11 strikes a balance between aesthetics and functionality, offering a modern solution that should meet the needs of most while offering value and longevity. It might be a worthy addition to your tech arsenal, promising reliability and efficiency in daily use.Rating: 4.5/5",5,NA
"4","Laptop","Acer Aspire 3 A315-24P-R7VH Slim Laptop","David Fisher","Reviewed in the United States on August 3, 2019","","This is the best laptop deal you can get, full stop.Touchescreen? Nope. That feature is stupid in a laptop, in my view. As you use the keyboard, incidental touche s of the screen change focus or move to different screens--touchscreen is a gimmick and sucks.The screen on this laptop is worth the price by itself. Gorgeous, black is actually black, it rivals my AOC gaming desktop monitor.The Ryzen chip inside can be overclosked if you feel like it, but it is not needed. It is plenty fast for a laptop.This is set up to add memory and a hard drive. Do so. I spent an additional $50 to add a 1tb drive and an 8gig memory stick.  In so doing, I have the same specs as a $700 consumer laptop.Gaming? I stream from my desktop, it's perfect. It won't run any modern games at more than low settings (if that) but you don't need to run them onboard if you have a gaming machine. DO NOT BUY THIS TO PLAY GAMES ONBOARD. Stream via Steam, it's perfect.Buy this for $300, spend an additional $50 or $100 on memory and storage, and sit back and realize that you got a premier laptop for 1/3 the money people are spending on nothing.Build quality is bomber. Eveything is solid, no rattles, no warps. Others have ripped on the touchpad--can't tell the difference between this and any other laptop touchpad. It isn't loose, responds as usual, no problem.The screen is GORGEOUS and much better than laptops at twice or three times the price.I actually like the compressed number pad on the right. If you aren't doing a lot of 10-key stuff, it's what you need.The keyboard backlight stays on while you're typing, shuts off when you aren't. Perfectly configured.This boots in about 15 seconds.It has some heft, but is still very light. Hard to describe, but you can carry this all day in your backpack and not even know it is there. The power brick is about the size of a Toblerone tube. I plan on buying an extra to travel with.This will work as a consumer laptop as is, like I said, but add some memory and a hard drive and you are CRUSHING.I can't sing the praises of this enough.Buy this, add a drive and a memory stick and you get a premier laptop for less than $400. And you get a better screen, too. And anyone can do that, it isn't tough at all. If you can turn a screwdriver, you can update this machine.Make sure to go in and turn S mode off. First, activate Windows, then go to the store and turn off S mode.This is much better than what other companies are offering as a budget laptop.",5,NA
"5","Laptop","Acer Aspire 3 A315-24P-R7VH Slim Laptop","David Fisher","Reviewed in the United States on August 10, 2024","","Pretty good laptop. Will make a really good school or low level gaming laptop compared to latest games.It came with a 128gb 800mbps m.2 drive that was slow for windows 11 so upgraded it to 1tb 3500mbps m.2 drive. There are mixed reviews and info even from the manufacturer on if it has a extra ram slot or not but this one does not have one. All the ram is soldered to the motherboard and needs to be taken to an Acer shop in order to upgrade. Out of the box it used 6/8gb of ram at first then after the updates it dropped down to 4/8gb used. The system is pretty fast for only having 4gb free. The processor is the main feature I ordered it for since it is a 4core-8thread processor with speed ranging from 2.5ghz to 4.3ghz. After trying some more power demanding games the temp could still not pass 50c and stays quiet and cool to touch. It normally stays idle around 41c when not under a heavy load with no sound from the fans. The screen is decent quality but not meant for games since it's LCD and not being led the games get a bit of blur here and there with higher fps. Word of advice is when installing a different operating system the WiFi drivers do not reinstall with the system so any online activation is almost useless unless you have a usb-ethernet adapter. The battery lasts me around 6 hours in performance mode but in power saving mode could possibly last 9+ hours and way longer with some power setting tweaks. The graphics says 600mb dedicated and 3400mb shared but unlike a lot of systems all the shared moves straight to dedicated making it 4gb for the graphics. The value is pretty good and the appearance is slick. My older brother was checking it out and thinking of buying one now because of how well it does. Some upgrades to look into if you know what your doing is a new m.2 drive with a faster transfer rate and also possibly an upgraded 15.6inch screen that's 1080p-4k.",5,NA
"6","Laptop","Acer Aspire 3 A315-24P-R7VH Slim Laptop","thomas","Reviewed in the United States on July 30, 2023","This is NOT a Budget Laptop!","I bought two of these laptops in the summer of 2020 for $299 and $310. The first thing I did was pull the stock memory and storage. I added 16 GB ram and put in 1 tb drives. I installed  Xubuntu Linux, later installed Debian Linux “bookworm” Release. with no driver issues. I added a USB 1 GB Ethernet adapter/hub combo to the 1 USB 3.1 port. This Laptop has a good screen and I like its lighted keyboard. Its Ryzen 3 3200U processor isn't fast, but its fast enough for my needs. I only use this laptop as a VPN internet share laptop for my work at home 2nd local area network. I could use an VPN router for this, but would get much slower internet speeds.  Using the laptop as an VPN share device I always get good internet speeds.  The second laptop I have as a backup, if the Linux OS gets a bad update and fails. It has happened 3 or 4 times where I had to use the backup laptop.  Minimal downtime that way. Always good to have a backup.The only thing I don't like about the laptop is that every so often I will get a blinking battery warning light. When that happens I unplug the ac power to the laptop and let the battery run down to 15%, then plug in the ac power to the laptop and good to go. No more warning light. I pull the bottom cover off once a year to clean the laptop and make sure the battery isn't showing signs of swelling. So far so good.  If that happened I would probably just pull the battery and run the laptop without a battery.  These laptops have been a good value for what I use them for. The laptop performs well running Linux, I would not be running windows on the laptop. I think its processor might be to slow for that. In its stock configuration 4 GB of ram would be a bad day for windows.",5,NA
"7","Laptop","Acer Aspire 3 A315-24P-R7VH Slim Laptop","Bob Reviews","Reviewed in Canada on November 20, 2024","","This isn't a gaming computer, but if you're just using it to do your taxes or email, reports or word doc's, its a great machine. It has more memory than you will ever use for these purposes. But it is inexpensive and doesn't have the great video and sound cards that you need for gaming. Its a decent personal computer. Would recommend.",4,NA
"8","Laptop","Acer Aspire 3 A315-24P-R7VH Slim Laptop","Wolfgang kron","Reviewed in Canada on April 26, 2024","","Arrived on time. Computer takes a few minutes to set up, but they all do. Works find & is fast. Only thing & this is my fault for not doing enough research, it has a 15"" screen which for me is a little small. I would have no problem buying this brand again just I would look for a larger screen. Nice computer!",5,NA
"9","Laptop","Acer Aspire 3 A315-24P-R7VH Slim Laptop","Derrick Kilfoy","Reviewed in Mexico on September 21, 2023","Everything I was looking for","Tiene un rendimiento muy muy bueno, no se ha trabado para absolutamente nada, ahora quien se ha quedado lento es mi internet jaja, su calidad en todo sentido es excelente, lo que no me agrada del todo es su cargador, pero, sin duda es lo mejor para el precio, sobretodo aquí en México que para ese precio te ofrecen laptops con calidad horrible, de verdad que la volvería a encargar de nuevo, no se calienta, estéticamente es preciosa, su procesador es de lo mejores, la memoria sí que no es grande pero a la vez siento que está bien para que el procesador pueda rendir de la mejor manera, igual ya existen los discos duros, así que no hay pierde, si quieren algo de excelente calidad, estéticamente precioso y con un precio bajo, es la mejor opción ya que cuenta con prácticamente todo lo necesario casi para hacer cualquier cosa, no tuve tampoco ningún problema con el envío ni nada, la trajeron de Estados Unidos a México y todo muy bien (dato: la cámara también está preciosa cuando hay buena iluminación y el audio es muy bueno, no muy alto pero sí mucho mejor que el de mi laptop pasada sin duda).",5,NA
"10","Laptop","Acer Aspire 3 A315-24P-R7VH Slim Laptop","Jos SR","Reviewed in the United Kingdom on November 12, 2024","","",5,NA
